"affiliator","affiliatee"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x4edecf878a3cc8e5b5dcaf9a5b8b62be2c4de7cf027a7e6e61a84295a27a5500"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0x4e1b928bb4efab5a6d8925740ac2c6428d810695fe45c5ab546baa8c94fcc65b"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xa84964c78048879f33e0cd44bb9aac13fdcb51491901172da55eb3087ca59f3e"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xe49b576582d4861208939726cb52946e0a693e2aef04f939e016071dffc34604"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xe499f0b09b5da5a8f296a2f4175a424220cab9ecb101561d30f1cc8e60211108"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x8806d73869847a2a12247a48f0aa4f1d0ed34b85158e71fc157300e76b52933c"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x28d6381e063cefaf96a658413cd29c8dc09c01950c62e69bfd945c89e9cc7d41"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x266498e2ba1fb12aced11f6efc1faee02f1610eda2b106465dd3c5c78dc2910f"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x360fec83b1f475ed8d54ce5fa5d8ce9a601c48ecd84d0f5a6f3c8b8fd3df5f4f"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0xe0c5c7427a81541abdbf80ccce7d05cea45aade1180933f03768f51cfc0a2117"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x8e393cf85938320039a4a26c00eb9c5638997db3b79e753e6c515ecdbe3ed833"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x6c471b88a276bdf48a735336ba2696bfc370f92449b41726d85801a2bcd98e3b"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xf88a65544b4aa1f6cafce4fd6c0d073657ff9c204a057ae9169b1aa38cd6f475"
"0xb8913874613f6ad3ef0c59548efe7462dc005260af4ae6a53dbb363a5cfb6731","0xaaae4c91c22df93cc852d4f1c9d87de75be448002c26eec9f4521e51797a2938"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x0c963015fe0de1036bd3a0a1ee9f7bc27e72ee3ee8d54744bd84b920ccf93561"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0xa88a89a8b91ab263d38fc0830e1a942afe0352743af329fa3c9627900cdb1710"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x689ebd78744f54fe0adba95fdde2b4422f2eb0f78d068cc1261b61156c6c2e55"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x02a9e89fba94721af7bd0afad2c6bbefa87c62169ab2271fae9a1b1ccc22a93b"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x46a0af91eb8bd910a50fd3e0c842a178e46fb3390b61fe5f8b603d4245975f62"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0x064e07afb69e266593dabbd9fec9d2fe5c2bb84e5a008cb2000521c7ae447d00"
"0xa2b676f1b332f189394bd0617dfe5c56b279d94a081ea2ef25c50cd28f154e1c","0xfa2aa6ce73166946e41cc77d879d3689a12f61d26a3ead4cf9638cf6c31b7d2f"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x84b3ea46f047e3ce1b77f9f0fadacc9ded01196a061d508b395797a0c35f5811"
"0x94546ff56643b8c0fed386347d7a8cd0b995383125a0fc0f0e45f0e33a6c5827","0xde8e3c7d79e4845ed6b88cefa3d89b363192edb134af58804d3ee99cf1814168"
"0x021fdb8a0d3999fc337179cb064b3b7965359936eb76aa87de76cc396d951702","0x963e8bbde3f126b8bc2677ce2a25edd4958ac7bdb8a6db364763b4d33105ae04"
